date,gender,age_group,cases,deaths
2021-04-22,male,60-79,1569,68
2021-04-22,male,80+,266,53
2021-04-22,male,total,13221,152
2021-04-22,total,00-04,1001,0
2021-04-22,total,05-14,3099,1
2021-04-22,total,15-34,7844,2
2021-04-22,total,35-59,9720,42
2021-04-22,total,60-79,3094,116
2021-04-22,total,80+,697,116
2021-04-22,total,total,25470,277
2021-04-23,female,00-04,435,0
2021-04-23,female,05-14,1337,0
2021-04-23,female,15-34,3306,0
2021-04-23,female,35-59,4171,7
2021-04-23,female,60-79,1473,56
2021-04-23,female,80+,366,47
2021-04-23,female,total,11094,110
2021-04-23,male,00-04,485,0
2021-04-23,male,05-14,1467,0
2021-04-23,male,15-34,3702,2
2021-04-23,male,35-59,4396,26
2021-04-23,male,60-79,1451,61
2021-04-23,male,80+,236,45
2021-04-23,male,total,11743,134
2021-04-23,total,00-04,927,0
2021-04-23,total,05-14,2825,0
2021-04-23,total,15-34,7049,2
2021-04-23,total,35-59,8611,33
2021-04-23,total,60-79,2930,117
2021-04-23,total,80+,603,92
2021-04-23,total,total,22959,244
2021-04-24,female,00-04,386,0
2021-04-24,female,05-14,1013,0
2021-04-24,female,15-34,2560,1
2021-04-24,female,35-59,3345,6
2021-04-24,female,60-79,1151,29
2021-04-24,female,80+,297,40
2021-04-24,female,total,8757,76
2021-04-24,male,00-04,427,0
2021-04-24,male,05-14,1181,0
2021-04-24,male,15-34,2882,1
2021-04-24,male,35-59,3336,11
2021-04-24,male,60-79,1143,55
2021-04-24,male,80+,211,38
2021-04-24,male,total,9185,105
2021-04-24,total,00-04,824,0
2021-04-24,total,05-14,2208,0
2021-04-24,total,15-34,5466,2
2021-04-24,total,35-59,6700,17
2021-04-24,total,60-79,2301,84
2021-04-24,total,80+,509,78
2021-04-24,total,total,18037,181
2021-04-25,female,00-04,164,0
2021-04-25,female,05-14,494,0
2021-04-25,female,15-34,1301,0
2021-04-25,female,35-59,1561,2
2021-04-25,female,60-79,495,19
2021-04-25,female,80+,157,22
2021-04-25,female,total,4174,43
2021-04-25,male,00-04,218,0
2021-04-25,male,05-14,544,0
2021-04-25,male,15-34,1404,0
2021-04-25,male,35-59,1658,9
2021-04-25,male,60-79,559,30
2021-04-25,male,80+,88,16
2021-04-25,male,total,4473,55
2021-04-25,total,00-04,384,0
2021-04-25,total,05-14,1047,0
2021-04-25,total,15-34,2716,0
2021-04-25,total,35-59,3230,11
2021-04-25,total,60-79,1055,49
2021-04-25,total,80+,245,38
2021-04-25,total,total,8681,98
2021-04-26,female,00-04,251,0
2021-04-26,female,05-14,604,0
2021-04-26,female,15-34,1792,0
2021-04-26,female,35-59,2135,6
2021-04-26,female,60-79,734,43
2021-04-26,female,80+,245,38
2021-04-26,female,total,5761,87
2021-04-26,male,00-04,258,0
2021-04-26,male,05-14,737,0
2021-04-26,male,15-34,1960,0
2021-04-26,male,35-59,2424,12
2021-04-26,male,60-79,818,62
2021-04-26,male,80+,160,46
2021-04-26,male,total,6358,120
2021-04-26,total,00-04,515,0
2021-04-26,total,05-14,1353,0
2021-04-26,total,15-34,3772,0
2021-04-26,total,35-59,4581,18
2021-04-26,total,60-79,1564,105
2021-04-26,total,80+,407,84
2021-04-26,total,total,12194,207
2021-04-27,female,00-04,424,0
2021-04-27,female,05-14,1250,0
2021-04-27,female,15-34,3550,0
2021-04-27,female,35-59,4880,7
2021-04-27,female,60-79,1583,40
2021-04-27,female,80+,318,41
2021-04-27,female,total,12006,88
2021-04-27,male,00-04,482,0
2021-04-27,male,05-14,1334,0
2021-04-27,male,15-34,3963,0
2021-04-27,male,35-59,5491,23
2021-04-27,male,60-79,1653,82
2021-04-27,male,80+,211,44
2021-04-27,male,total,13143,149
2021-04-27,total,00-04,914,0
2021-04-27,total,05-14,2606,0
2021-04-27,total,15-34,7542,0
2021-04-27,total,35-59,10408,30
2021-04-27,total,60-79,3244,122
2021-04-27,total,80+,531,85
2021-04-27,total,total,25264,237
2021-04-28,female,00-04,458,0
