date,gender,age_group,cases,deaths
2021-04-10,male,30-39,1853,
2021-04-10,male,40-49,1892,
2021-04-10,male,50-59,1663,
2021-04-10,male,60-69,982,
2021-04-10,male,70-79,512,
2021-04-10,male,80-89,224,
2021-04-10,male,90+,52,
2021-04-10,male,total,11415,
2021-04-10,total,00-09,1127,
2021-04-10,total,10-19,3636,
2021-04-10,total,20-29,4035,
2021-04-10,total,30-39,3872,
2021-04-10,total,40-49,3998,
2021-04-10,total,50-59,3414,
2021-04-10,total,60-69,2130,
2021-04-10,total,70-79,1116,
2021-04-10,total,80-89,549,
2021-04-10,total,90+,177,
2021-04-10,total,total,24061,
2021-04-11,female,00-09,118,
2021-04-11,female,10-19,291,
2021-04-11,female,20-29,432,
2021-04-11,female,30-39,482,
2021-04-11,female,40-49,391,
2021-04-11,female,50-59,301,
2021-04-11,female,60-69,194,
2021-04-11,female,70-79,144,
2021-04-11,female,80-89,126,
2021-04-11,female,90+,63,
2021-04-11,female,total,2543,
2021-04-11,male,00-09,131,
2021-04-11,male,10-19,292,
2021-04-11,male,20-29,407,
2021-04-11,male,30-39,396,
2021-04-11,male,40-49,396,
2021-04-11,male,50-59,330,
2021-04-11,male,60-69,205,
2021-04-11,male,70-79,149,
2021-04-11,male,80-89,101,
2021-04-11,male,90+,31,
2021-04-11,male,total,2438,
2021-04-11,total,00-09,251,
2021-04-11,total,10-19,590,
2021-04-11,total,20-29,844,
2021-04-11,total,30-39,884,
2021-04-11,total,40-49,791,
2021-04-11,total,50-59,633,
2021-04-11,total,60-69,399,
2021-04-11,total,70-79,293,
2021-04-11,total,80-89,227,
2021-04-11,total,90+,94,
2021-04-11,total,total,5008,
2021-04-12,female,00-09,930,
2021-04-12,female,10-19,3065,
2021-04-12,female,20-29,3905,
2021-04-12,female,30-39,4119,
2021-04-12,female,40-49,4033,
2021-04-12,female,50-59,3526,
2021-04-12,female,60-69,2303,
2021-04-12,female,70-79,1223,
2021-04-12,female,80-89,647,
2021-04-12,female,90+,300,
2021-04-12,female,total,24063,
2021-04-12,male,00-09,1054,
2021-04-12,male,10-19,3001,
2021-04-12,male,20-29,3748,
2021-04-12,male,30-39,3524,
2021-04-12,male,40-49,3617,
2021-04-12,male,50-59,3369,
2021-04-12,male,60-69,1957,
2021-04-12,male,70-79,1062,
2021-04-12,male,80-89,459,
2021-04-12,male,90+,118,
2021-04-12,male,total,21916,
2021-04-12,total,00-09,2050,
2021-04-12,total,10-19,6167,
2021-04-12,total,20-29,7684,
2021-04-12,total,30-39,7679,
2021-04-12,total,40-49,7667,
2021-04-12,total,50-59,6929,
2021-04-12,total,60-69,4276,
2021-04-12,total,70-79,2290,
2021-04-12,total,80-89,1109,
2021-04-12,total,90+,418,
2021-04-12,total,total,46289,
2021-04-13,female,00-09,751,
2021-04-13,female,10-19,2319,
2021-04-13,female,20-29,2976,
2021-04-13,female,30-39,2983,
2021-04-13,female,40-49,2923,
2021-04-13,female,50-59,2532,
2021-04-13,female,60-69,1710,
2021-04-13,female,70-79,956,
2021-04-13,female,80-89,617,
2021-04-13,female,90+,310,
2021-04-13,female,total,18079,
2021-04-13,male,00-09,738,
2021-04-13,male,10-19,2288,
2021-04-13,male,20-29,2689,
2021-04-13,male,30-39,2625,
2021-04-13,male,40-49,2593,
2021-04-13,male,50-59,2428,
2021-04-13,male,60-69,1410,
2021-04-13,male,70-79,796,
2021-04-13,male,80-89,364,
2021-04-13,male,90+,101,
2021-04-13,male,total,16036,
2021-04-13,total,00-09,1540,
2021-04-13,total,10-19,4689,
2021-04-13,total,20-29,5690,
2021-04-13,total,30-39,5627,
2021-04-13,total,40-49,5538,
2021-04-13,total,50-59,4975,
2021-04-13,total,60-69,3129,
2021-04-13,total,70-79,1754,
2021-04-13,total,80-89,982,
2021-04-13,total,90+,411,
2021-04-13,total,total,34343,
2021-04-14,female,00-09,707,
2021-04-14,female,10-19,2154,
2021-04-14,female,20-29,2812,
2021-04-14,female,30-39,2756,
2021-04-14,female,40-49,2698,
2021-04-14,female,50-59,2375,
2021-04-14,female,60-69,1499,
2021-04-14,female,70-79,734,
2021-04-14,female,80-89,521,
2021-04-14,female,90+,231,
2021-04-14,female,total,16488,
2021-04-14,male,00-09,756,
2021-04-14,male,10-19,2175,
2021-04-14,male,20-29,2693,
2021-04-14,male,30-39,2394,
2021-04-14,male,40-49,2378,
2021-04-14,male,50-59,2153,
2021-04-14,male,60-69,1348,
2021-04-14,male,70-79,752,
2021-04-14,male,80-89,292,
2021-04-14,male,90+,102,
2021-04-14,male,total,15045,
2021-04-14,total,00-09,1494,
2021-04-14,total,10-19,4385,
2021-04-14,total,20-29,5528,
2021-04-14,total,30-39,5183,
2021-04-14,total,40-49,5095,
2021-04-14,total,50-59,4549,
2021-04-14,total,60-69,2856,
2021-04-14,total,70-79,1492,
2021-04-14,total,80-89,814,
2021-04-14,total,90+,334,
2021-04-14,total,total,31734,
2021-04-15,female,00-09,755,
2021-04-15,female,10-19,2186,
2021-04-15,female,20-29,2771,
2021-04-15,female,30-39,2688,
2021-04-15,female,40-49,2591,
2021-04-15,female,50-59,2340,
2021-04-15,female,60-69,1429,
2021-04-15,female,70-79,767,
2021-04-15,female,80-89,521,
2021-04-15,female,90+,279,
2021-04-15,female,total,16333,
2021-04-15,male,00-09,747,
2021-04-15,male,10-19,2188,
2021-04-15,male,20-29,2646,
2021-04-15,male,30-39,2386,
2021-04-15,male,40-49,2335,
