date,gender,age_group,cases,deaths
2020-06-20,male,total,164.0,2.0
2020-06-20,total,total,377.0,1.0
2020-06-21,female,total,159.0,2.0
2020-06-21,male,total,133.0,0.0
2020-06-21,total,total,292.0,2.0
2020-06-22,female,total,166.0,1.0
2020-06-22,male,total,93.0,3.0
2020-06-22,total,total,259.0,4.0
2020-06-23,female,total,180.0,4.0
2020-06-23,male,total,165.0,2.0
2020-06-23,total,total,345.0,6.0
2020-06-24,female,total,187.0,2.0
2020-06-24,male,total,180.0,1.0
2020-06-24,total,total,367.0,3.0
2020-06-25,female,total,167.0,2.0
2020-06-25,male,total,144.0,4.0
2020-06-25,total,total,311.0,6.0
2020-06-26,female,total,241.0,1.0
2020-06-26,male,total,210.0,5.0
2020-06-26,total,total,451.0,6.0
2020-06-27,female,total,176.0,1.0
2020-06-27,male,total,147.0,5.0
2020-06-27,total,total,323.0,6.0
2020-06-28,female,total,264.0,2.0
2020-06-28,male,total,193.0,1.0
2020-06-28,total,total,457.0,3.0
2020-06-29,female,total,127.0,3.0
2020-06-29,male,total,139.0,1.0
2020-06-29,total,total,266.0,4.0
2020-06-30,female,total,132.0,4.0
2020-06-30,male,total,127.0,4.0
2020-06-30,total,total,259.0,8.0
2020-07-01,female,total,170.0,2.0
2020-07-01,male,total,182.0,1.0
2020-07-01,total,total,352.0,3.0
2020-07-02,female,total,208.0,5.0
2020-07-02,male,total,170.0,3.0
2020-07-02,total,total,378.0,8.0
2020-07-03,female,total,256.0,2.0
2020-07-03,male,total,199.0,9.0
2020-07-03,total,total,455.0,11.0
2020-07-04,female,total,227.0,4.0
2020-07-04,male,total,186.0,3.0
2020-07-04,total,total,413.0,7.0
2020-07-05,female,total,176.0,8.0
2020-07-05,male,total,152.0,1.0
2020-07-05,total,total,328.0,9.0
2020-07-06,female,total,116.0,1.0
2020-07-06,male,total,116.0,5.0
2020-07-06,total,total,232.0,6.0
2020-07-07,female,total,159.0,4.0
2020-07-07,male,total,128.0,5.0
2020-07-07,total,total,287.0,9.0
2020-07-08,female,total,232.0,1.0
2020-07-08,male,total,211.0,1.0
2020-07-08,total,total,443.0,2.0
2020-07-09,female,total,235.0,8.0
2020-07-09,male,total,183.0,5.0
2020-07-09,total,total,418.0,13.0
2020-07-10,female,total,204.0,1.0
2020-07-10,male,total,198.0,1.0
2020-07-10,total,total,402.0,2.0
2020-07-11,female,total,181.0,2.0
2020-07-11,male,total,161.0,6.0
2020-07-11,total,total,342.0,8.0
2020-07-12,female,total,135.0,2.0
2020-07-12,male,total,156.0,4.0
2020-07-12,total,total,291.0,6.0
2020-07-13,female,total,134.0,1.0
2020-07-13,male,total,172.0,1.0
2020-07-13,total,total,306.0,2.0
2020-07-14,female,total,111.0,5.0
2020-07-14,male,total,122.0,1.0
2020-07-14,total,total,233.0,6.0
2020-07-15,female,total,175.0,6.0
2020-07-15,male,total,200.0,2.0
2020-07-15,total,total,375.0,8.0
2020-07-16,female,total,180.0,1.0
2020-07-16,male,total,159.0,2.0
2020-07-16,total,total,339.0,3.0
2020-07-17,female,total,173.0,2.0
2020-07-17,male,total,139.0,1.0
2020-07-17,total,total,312.0,3.0
2020-07-18,female,total,175.0,1.0
2020-07-18,male,total,138.0,1.0
2020-07-18,total,total,313.0,2.0
2020-07-19,female,total,134.0,2.0
2020-07-19,male,total,112.0,3.0
2020-07-19,total,total,246.0,5.0
2020-07-20,female,total,66.0,1.0
2020-07-20,male,total,69.0,1.0
2020-07-20,total,total,135.0,2.0
2020-07-21,female,total,70.0,4.0
2020-07-21,male,total,57.0,2.0
2020-07-21,total,total,127.0,6.0
2020-07-22,female,total,139.0,1.0
2020-07-22,male,total,113.0,4.0
2020-07-22,total,total,252.0,5.0
2020-07-23,female,total,106.0,1.0
2020-07-23,male,total,123.0,2.0
2020-07-23,total,total,229.0,3.0
2020-07-24,female,total,154.0,3.0
2020-07-24,male,total,159.0,4.0
2020-07-24,total,total,313.0,7.0
2020-07-25,female,total,123.0,2.0
2020-07-25,male,total,140.0,2.0
2020-07-25,total,total,263.0,4.0
2020-07-26,female,total,107.0,0.0
2020-07-26,male,total,102.0,1.0
2020-07-26,total,total,209.0,1.0
2020-07-27,female,total,80.0,1.0
2020-07-27,male,total,55.0,1.0
2020-07-27,total,total,135.0,2.0
2020-07-28,female,total,57.0,2.0
2020-07-28,male,total,54.0,1.0
2020-07-28,total,total,111.0,3.0
2020-07-29,female,total,107.0,2.0
2020-07-29,male,total,96.0,1.0
2020-07-29,total,total,203.0,3.0
2020-07-30,female,total,139.0,0.0
2020-07-30,male,total,116.0,2.0
2020-07-30,total,total,255.0,2.0
2020-07-31,female,total,109.0,3.0
2020-07-31,male,total,95.0,5.0
2020-07-31,total,total,204.0,8.0
2020-08-01,female,total,128.0,1.0
