date,gender,cases
2020-07-21,male,75
2020-07-22,male,269
2020-07-23,male,210
2020-07-24,male,235
2020-07-25,male,113
2020-07-26,male,95
2020-07-27,male,312
2020-07-28,male,352
2020-07-29,male,330
2020-07-30,male,320
2020-07-31,male,347
2020-08-01,male,158
2020-08-02,male,81
2020-08-03,male,391
2020-08-04,male,399
2020-08-05,male,400
2020-08-06,male,385
2020-08-07,male,379
2020-08-08,male,140
2020-08-09,male,59
2020-08-10,male,447
2020-08-11,male,359
2020-08-12,male,297
2020-08-13,male,331
2020-08-14,male,281
2020-08-15,male,74
2020-08-16,male,69
2020-08-17,male,342
2020-08-18,male,356
2020-08-19,male,278
2020-08-20,male,287
2020-08-21,male,247
2020-08-22,male,103
2020-08-23,male,62
2020-08-24,male,313
2020-08-25,male,274
2020-08-26,male,248
2020-08-27,male,268
2020-08-28,male,306
2020-08-29,male,111
2020-08-30,male,56
2020-08-31,male,308
2020-09-01,male,272
2020-09-02,male,282
2020-09-03,male,296
2020-09-04,male,352
2020-09-05,male,172
2020-09-06,male,80
2020-09-07,male,444
2020-09-08,male,410
2020-09-09,male,534
2020-09-10,male,558
2020-09-11,male,636
2020-09-12,male,342
2020-09-13,male,149
2020-09-14,male,823
2020-09-15,male,788
2020-09-16,male,937
2020-09-17,male,894
2020-09-18,male,803
2020-09-19,male,440
2020-09-20,male,224
2020-09-21,male,1037
2020-09-22,male,1027
2020-09-23,male,1022
2020-09-24,male,851
2020-09-25,male,778
2020-09-26,male,531
2020-09-27,male,270
2020-09-28,male,1358
2020-09-29,male,1452
2020-09-30,male,1595
2020-10-01,male,1673
2020-10-02,male,1767
2020-10-03,male,858
2020-10-04,male,534
2020-10-05,male,2533
2020-10-06,male,2744
2020-10-07,male,3308
2020-10-08,male,3205
2020-10-09,male,3821
2020-10-10,male,2053
2020-10-11,male,1168
2020-10-12,male,4626
2020-10-13,male,5968
2020-10-14,male,5844
2020-10-15,male,5718
2020-10-16,male,6478
2020-10-17,male,3793
2020-10-18,male,2027
2020-10-19,male,7320
2020-10-20,male,9098
2020-10-21,male,8098
2020-10-22,male,8041
2020-10-23,male,8525
2020-10-24,male,5149
2020-10-25,male,2181
2020-10-26,male,8861
2020-10-27,male,9792
2020-10-28,male,7951
2020-10-29,male,6597
2020-10-30,male,6627
2020-10-31,male,2699
2020-11-01,male,1175
2020-11-02,male,6146
2020-11-03,male,5391
2020-11-04,male,3909
2020-11-05,male,3307
2020-11-06,male,2815
2020-11-07,male,1287
2020-11-08,male,663
2020-11-09,male,3723
2020-11-10,male,3250
2020-11-11,male,855
2020-11-12,male,2786
2020-11-13,male,2345
2020-11-14,male,982
2020-11-15,male,456
2020-11-16,male,2487
2020-11-17,male,1962
2020-11-18,male,1547
2020-11-19,male,1268
2020-11-20,male,1317
2020-11-21,male,548
2020-11-22,male,226
2020-11-23,male,1683
2020-11-24,male,1235
2020-11-25,male,1143
2020-11-26,male,1009
2020-11-27,male,1103
2020-11-28,male,453
2020-11-29,male,246
2020-11-30,male,1400
2020-12-01,male,1140
2020-12-02,male,1107
2020-12-03,male,1076
2020-12-04,male,1109
2020-12-05,male,495
2020-12-06,male,271
2020-12-07,male,1483
2020-12-08,male,1165
2020-12-09,male,1160
2020-12-10,male,1184
2020-12-11,male,1212
2020-12-12,male,703
2020-12-13,male,319
2020-12-14,male,1662
2020-12-15,male,1314
2020-12-16,male,1206
2020-12-17,male,1156
2020-12-18,male,1249
2020-12-19,male,638
2020-12-20,male,288
2020-12-21,male,1486
2020-12-22,male,1098
2020-12-23,male,1058
2020-12-24,male,800
2020-12-25,male,230
2020-12-26,male,529
2020-12-27,male,242
2020-12-28,male,1217
2020-12-29,male,1006
2020-12-30,male,865
2020-12-31,male,713
2021-01-01,male,210
2021-01-02,male,494
2021-01-03,male,356
2021-01-04,male,1316
2021-01-05,male,1192
2021-01-06,male,1006
2021-01-07,male,812
2021-01-08,male,921
2021-01-09,male,611
2021-01-10,male,405
2021-01-11,male,1339
2021-01-12,male,1128
2021-01-13,male,978
2021-01-14,male,969
2021-01-15,male,1012
2021-01-16,male,558
2021-01-17,male,311
2021-01-18,male,1367
2021-01-19,male,1093
2021-01-20,male,1140
2021-01-21,male,1082
2021-01-22,male,1203
2021-01-23,male,670
2021-01-24,male,381
2021-01-25,male,1520
2021-01-26,male,1259
2021-01-27,male,1159
2021-01-28,male,1211
2021-01-29,male,1349
2021-01-30,male,743
2021-01-31,male,428
2021-02-01,male,1529
2021-02-02,male,1210
2021-02-03,male,1128
2021-02-04,male,1108
2021-02-05,male,1154
2021-02-06,male,629
2021-02-07,male,293
2021-02-08,male,1157
2021-02-09,male,1000
2021-02-10,male,1019
2021-02-11,male,1005
2021-02-12,male,964
2021-02-13,male,546
2021-02-14,male,280
2021-02-15,male,1319
2021-02-16,male,1158
2021-02-17,male,1216
2021-02-18,male,1268
2021-02-19,male,1394
2021-02-20,male,767
2021-02-21,male,426
2021-02-22,male,1626
2021-02-23,male,1383
2021-02-24,male,1324
2021-02-25,male,1311
2021-02-26,male,1385
2021-02-27,male,736
2021-02-28,male,354
2021-03-01,male,1639
2021-03-02,male,1360
2021-03-03,male,1353
2021-03-04,male,1342
2021-03-05,male,1329
2021-03-06,male,776
2021-03-07,male,395
2021-03-08,male,1746
2021-03-09,male,1719
2021-03-10,male,1625
2021-03-11,male,1699
2021-03-12,male,1797
2021-03-13,male,1015
2021-03-14,male,654
2021-03-15,male,2610
2021-03-16,male,2218
2021-03-17,male,2354
2021-03-18,male,2459
2021-03-19,male,2580
2021-03-20,male,1435
2021-03-21,male,778
2021-03-22,male,3108
2021-03-23,male,2975
2021-03-24,male,2758
2021-03-25,male,2788
2021-03-26,male,2807
2021-03-27,male,1497
2021-03-28,male,846
2021-03-29,male,2991
2021-03-30,male,2531
2021-03-31,male,2337
2021-04-01,male,2322
2021-04-02,male,2345
2021-04-03,male,1364
2021-04-04,male,756
2021-04-05,male,794
2021-04-06,male,2675
2021-04-07,male,2333
2021-04-08,male,2234
2021-04-09,male,2233
2021-04-10,male,1191
2021-04-11,male,639
2021-04-12,male,2416
2021-04-13,male,2140
2021-04-14,male,1995
2021-04-15,male,1879
2021-04-16,male,1975
2021-04-17,male,1188
2021-04-18,male,665
2021-04-19,male,2722
2021-04-20,male,2207
2021-04-21,male,2049
2021-04-22,male,1867
2021-04-23,male,1838
2021-04-24,male,923
2021-04-25,male,568
2021-04-26,male,2076
