date,gender,age_group,cases,deaths
2021-05-27,male,total,288,1
2021-05-27,total,00-14,125,0
2021-05-27,total,15-19,58,0
2021-05-27,total,20-24,66,0
2021-05-27,total,25-44,186,0
2021-05-27,total,45-64,106,0
2021-05-27,total,65-74,5,0
2021-05-27,total,75-84,4,1
2021-05-27,total,85+,2,0
2021-05-27,total,total,552,1
2021-05-28,female,00-14,60,0
2021-05-28,female,15-19,32,0
2021-05-28,female,20-24,25,0
2021-05-28,female,25-44,93,0
2021-05-28,female,45-64,45,0
2021-05-28,female,65-74,3,0
2021-05-28,female,75-84,2,0
2021-05-28,female,85+,0,0
2021-05-28,female,total,260,0
2021-05-28,male,00-14,58,0
2021-05-28,male,15-19,26,0
2021-05-28,male,20-24,40,0
2021-05-28,male,25-44,110,0
2021-05-28,male,45-64,43,0
2021-05-28,male,65-74,8,0
2021-05-28,male,75-84,2,0
2021-05-28,male,85+,1,1
2021-05-28,male,total,288,1
2021-05-28,total,00-14,118,0
2021-05-28,total,15-19,58,0
2021-05-28,total,20-24,65,0
2021-05-28,total,25-44,204,0
2021-05-28,total,45-64,88,0
2021-05-28,total,65-74,11,0
2021-05-28,total,75-84,4,0
2021-05-28,total,85+,1,1
2021-05-28,total,total,549,1
2021-05-29,female,00-14,47,0
2021-05-29,female,15-19,27,0
2021-05-29,female,20-24,29,0
2021-05-29,female,25-44,78,0
2021-05-29,female,45-64,31,0
2021-05-29,female,65-74,5,0
2021-05-29,female,75-84,2,0
2021-05-29,female,85+,3,1
2021-05-29,female,total,222,1
2021-05-29,male,00-14,39,0
2021-05-29,male,15-19,25,0
2021-05-29,male,20-24,23,0
2021-05-29,male,25-44,70,0
2021-05-29,male,45-64,54,0
2021-05-29,male,65-74,2,1
2021-05-29,male,75-84,0,0
2021-05-29,male,85+,0,0
2021-05-29,male,total,213,1
2021-05-29,total,00-14,86,0
2021-05-29,total,15-19,52,0
2021-05-29,total,20-24,52,0
2021-05-29,total,25-44,148,0
2021-05-29,total,45-64,85,0
2021-05-29,total,65-74,7,1
2021-05-29,total,75-84,2,0
2021-05-29,total,85+,3,1
2021-05-29,total,total,435,2
2021-05-30,female,00-14,48,0
2021-05-30,female,15-19,26,0
2021-05-30,female,20-24,44,0
2021-05-30,female,25-44,86,0
2021-05-30,female,45-64,43,0
2021-05-30,female,65-74,4,0
2021-05-30,female,75-84,1,1
2021-05-30,female,85+,3,0
2021-05-30,female,total,255,1
2021-05-30,male,00-14,51,0
2021-05-30,male,15-19,23,0
2021-05-30,male,20-24,30,0
2021-05-30,male,25-44,71,0
2021-05-30,male,45-64,50,0
2021-05-30,male,65-74,2,0
2021-05-30,male,75-84,3,0
2021-05-30,male,85+,1,0
2021-05-30,male,total,231,0
2021-05-30,total,00-14,99,0
2021-05-30,total,15-19,49,0
2021-05-30,total,20-24,74,0
2021-05-30,total,25-44,157,0
2021-05-30,total,45-64,93,0
2021-05-30,total,65-74,6,0
2021-05-30,total,75-84,4,1
2021-05-30,total,85+,4,0
2021-05-30,total,total,486,1
2021-05-31,female,00-14,51,0
