date,gender,cases
2020-06-26,male,110
2020-06-27,male,164
2020-06-28,male,224
2020-06-29,male,159
2020-06-30,male,78
2020-07-01,male,35
2020-07-02,male,58
2020-07-03,male,63
2020-07-04,male,59
2020-07-05,male,38
2020-07-06,male,20
2020-07-07,male,47
2020-07-08,male,48
2020-07-09,male,48
2020-07-10,male,60
2020-07-11,male,36
2020-07-12,male,26
2020-07-13,male,34
2020-07-14,male,47
2020-07-15,male,69
2020-07-16,male,72
2020-07-17,male,67
2020-07-18,male,49
2020-07-19,male,49
2020-07-20,male,106
2020-07-21,male,130
2020-07-22,male,144
2020-07-23,male,128
2020-07-24,male,130
2020-07-25,male,58
2020-07-26,male,54
2020-07-27,male,99
2020-07-28,male,134
2020-07-29,male,164
2020-07-30,male,141
2020-07-31,male,114
2020-08-01,male,60
2020-08-02,male,57
2020-08-03,male,120
2020-08-04,male,124
2020-08-05,male,137
2020-08-06,male,126
2020-08-07,male,157
2020-08-08,male,91
2020-08-09,male,62
2020-08-10,male,78
2020-08-11,male,158
2020-08-12,male,145
2020-08-13,male,181
2020-08-14,male,130
2020-08-15,male,74
2020-08-16,male,57
2020-08-17,male,83
2020-08-18,male,140
2020-08-19,male,148
2020-08-20,male,122
2020-08-21,male,240
2020-08-22,male,108
2020-08-23,male,56
2020-08-24,male,140
2020-08-25,male,186
2020-08-26,male,189
2020-08-27,male,172
2020-08-28,male,265
2020-08-29,male,165
2020-08-30,male,132
2020-08-31,male,115
2020-09-01,male,270
2020-09-02,male,336
2020-09-03,male,336
2020-09-04,male,388
2020-09-05,male,244
2020-09-06,male,200
2020-09-07,male,265
2020-09-08,male,576
2020-09-09,male,562
2020-09-10,male,648
2020-09-11,male,700
2020-09-12,male,740
2020-09-13,male,391
2020-09-14,male,484
2020-09-15,male,805
2020-09-16,male,965
2020-09-17,male,1428
2020-09-18,male,947
2020-09-19,male,926
2020-09-20,male,428
2020-09-21,male,639
2020-09-22,male,1038
2020-09-23,male,1030
2020-09-24,male,1240
2020-09-25,male,1455
2020-09-26,male,968
2020-09-27,male,651
2020-09-28,male,635
2020-09-29,male,955
2020-09-30,male,1437
2020-10-01,male,1623
2020-10-02,male,1815
2020-10-03,male,1255
2020-10-04,male,875
2020-10-05,male,1458
2020-10-06,male,2177
2020-10-07,male,2515
2020-10-08,male,2559
2020-10-09,male,4001
2020-10-10,male,2305
2020-10-11,male,1468
2020-10-12,male,1970
2020-10-13,male,3718
2020-10-14,male,4426
2020-10-15,male,4403
2020-10-16,male,5128
2020-10-17,male,4036
2020-10-18,male,2407
2020-10-19,male,3648
2020-10-20,male,5489
2020-10-21,male,6798
2020-10-22,male,6451
2020-10-23,male,7033
2020-10-24,male,5830
2020-10-25,male,3372
2020-10-26,male,4717
2020-10-27,male,7091
2020-10-28,male,5968
2020-10-29,male,5983
2020-10-30,male,6290
2020-10-31,male,5257
2020-11-01,male,3036
2020-11-02,male,4345
2020-11-03,male,5637
2020-11-04,male,7272
2020-11-05,male,6016
2020-11-06,male,5305
2020-11-07,male,3586
2020-11-08,male,1735
2020-11-09,male,2819
2020-11-10,male,4280
2020-11-11,male,4077
2020-11-12,male,3618
2020-11-13,male,3408
2020-11-14,male,1999
2020-11-15,male,887
2020-11-16,male,2512
2020-11-17,male,1987
2020-11-18,male,2505
2020-11-19,male,3193
2020-11-20,male,2741
2020-11-21,male,1494
2020-11-22,male,741
2020-11-23,male,1992
2020-11-24,male,2640
2020-11-25,male,2252
2020-11-26,male,1828
2020-11-27,male,2057
2020-11-28,male,1274
2020-11-29,male,508
2020-11-30,male,1648
2020-12-01,male,2423
2020-12-02,male,2046
2020-12-03,male,2135
2020-12-04,male,2165
2020-12-05,male,1546
2020-12-06,male,516
2020-12-07,male,1889
2020-12-08,male,2705
2020-12-09,male,3016
2020-12-10,male,2789
2020-12-11,male,2961
2020-12-12,male,1792
2020-12-13,male,952
2020-12-14,male,2389
2020-12-15,male,3700
2020-12-16,male,3901
2020-12-17,male,3738
2020-12-18,male,4249
2020-12-19,male,2562
2020-12-20,male,1663
2020-12-21,male,3792
2020-12-22,male,5209
2020-12-23,male,6917
2020-12-24,male,2118
2020-12-25,male,1346
2020-12-26,male,1448
2020-12-27,male,1812
2020-12-28,male,5164
2020-12-29,male,7692
2020-12-30,male,7946
2020-12-31,male,6186
2021-01-01,male,1599
2021-01-02,male,2299
2021-01-03,male,2918
2021-01-04,male,6021
2021-01-05,male,8151
2021-01-06,male,8281
2021-01-07,male,7027
2021-01-08,male,6093
2021-01-09,male,3975
2021-01-10,male,2077
2021-01-11,male,4412
2021-01-12,male,5178
2021-01-13,male,5157
2021-01-14,male,3791
2021-01-15,male,4362
2021-01-16,male,2488
2021-01-17,male,1247
2021-01-18,male,3641
2021-01-19,male,4625
2021-01-20,male,3855
2021-01-21,male,3572
2021-01-22,male,3955
2021-01-23,male,1989
2021-01-24,male,1168
2021-01-25,male,3397
2021-01-26,male,4582
2021-01-27,male,4164
2021-01-28,male,3897
2021-01-29,male,3886
2021-01-30,male,2003
2021-01-31,male,1221
2021-02-01,male,3561
2021-02-02,male,4520
2021-02-03,male,4839
2021-02-04,male,3913
2021-02-05,male,4188
2021-02-06,male,2402
2021-02-07,male,1212
2021-02-08,male,3856
2021-02-09,male,5109
2021-02-10,male,4688
2021-02-11,male,4374
2021-02-12,male,4303
2021-02-13,male,2488
2021-02-14,male,1372
2021-02-15,male,4450
2021-02-16,male,6260
2021-02-17,male,5321
2021-02-18,male,5753
2021-02-19,male,5565
2021-02-20,male,3275
2021-02-21,male,2040
2021-02-22,male,5594
2021-02-23,male,7869
2021-02-24,male,6779
2021-02-25,male,7131
2021-02-26,male,7215
2021-02-27,male,3809
2021-02-28,male,2262
2021-03-01,male,6182
2021-03-02,male,8401
2021-03-03,male,7545
2021-03-04,male,7196
2021-03-05,male,6539
2021-03-06,male,4531
2021-03-07,male,1966
2021-03-08,male,5354
2021-03-09,male,7823
2021-03-10,male,7283
2021-03-11,male,5713
2021-03-12,male,7740
2021-03-13,male,3527
2021-03-14,male,1671
2021-03-15,male,5466
2021-03-16,male,7068
2021-03-17,male,6047
2021-03-18,male,5368
2021-03-19,male,4880
2021-03-20,male,2714
2021-03-21,male,1178
2021-03-22,male,4123
2021-03-23,male,5539
2021-03-24,male,4516
2021-03-25,male,3969
2021-03-26,male,3834
2021-03-27,male,2003
2021-03-28,male,860
2021-03-29,male,3548
2021-03-30,male,4369
2021-03-31,male,3668
2021-04-01,male,3088
2021-04-02,male,1932
2021-04-03,male,1050
2021-04-04,male,966
2021-04-05,male,702
2021-04-06,male,2848
2021-04-07,male,3588
2021-04-08,male,2584
2021-04-09,male,2452
2021-04-10,male,1069
2021-04-11,male,483
2021-04-12,male,1975
2021-04-13,male,2540
2021-04-14,male,1841
2021-04-15,male,1619
2021-04-16,male,1596
2021-04-17,male,740
2021-04-18,male,449
2021-04-19,male,1707
2021-04-20,male,1914
